pair,fmt,I,rmse_mean
24bits,posit20,2.0,0.0
24bits,posit24,2.0,0.0
32bits,float32,0.2,7.529619727139046e-08
32bits,posit32,0.2,7.529619727139046e-08
32bits,float32,0.2947368421052632,1.8506934515290478e-07
32bits,posit32,0.2947368421052632,1.8506934515290478e-07
32bits,float32,0.3894736842105263,9.888547954711378e-08
32bits,posit32,0.3894736842105263,9.888547954711378e-08
32bits,float32,0.4842105263157895,6.95340505821492e-08
32bits,posit32,0.4842105263157895,6.95340505821492e-08
32bits,float32,0.5789473684210527,2.2452017323039295e-08
32bits,posit32,0.5789473684210527,2.2452017323039295e-08
32bits,float32,0.6736842105263159,2.046989540834154e-07
32bits,posit32,0.6736842105263159,2.046989540834154e-07
32bits,float32,0.7684210526315789,8.899951093180456e-09
32bits,posit32,0.7684210526315789,8.899951093180456e-09
32bits,float32,0.8631578947368421,1.8689904698844612e-07
32bits,posit32,0.8631578947368421,1.8689904698844612e-07
32bits,float32,0.9578947368421054,4.004979467534206e-08
32bits,posit32,0.9578947368421054,4.004979467534206e-08
32bits,float32,1.0526315789473684,1.1904406274738285e-08
32bits,posit32,1.0526315789473684,1.1904406274738285e-08
32bits,float32,1.1473684210526316,3.1745084298075464e-09
32bits,posit32,1.1473684210526316,3.1745084298075464e-09
32bits,float32,1.2421052631578948,5.555389639816536e-09
32bits,posit32,1.2421052631578948,5.555389639816536e-09
32bits,float32,1.3368421052631578,1.428528793413396e-08
32bits,posit32,1.3368421052631578,1.428528793413396e-08
32bits,float32,1.431578947368421,1.4682101544033237e-08
32bits,posit32,1.431578947368421,1.4682101544033237e-08
32bits,float32,1.5263157894736843,5.952203025022472e-09
32bits,posit32,1.5263157894736843,5.952203025022472e-09
32bits,float32,1.6210526315789473,2.777694819908268e-09
32bits,posit32,1.6210526315789473,2.777694819908268e-09
32bits,float32,1.7157894736842105,1.1507592889532349e-08
32bits,posit32,1.7157894736842105,1.1507592889532349e-08
32bits,float32,1.8105263157894738,1.7459796363941506e-08
32bits,posit32,1.8105263157894738,1.7459796363941506e-08
32bits,float32,1.9052631578947368,8.729898069624082e-09
32bits,posit32,1.9052631578947368,8.729898069624082e-09
32bits,float32,2.0,0.0
32bits,posit32,2.0,0.0
