pair,fmt,I,rmse_mean
24bits,float24,0.8631578947368421,3.1786298251759604e-05
24bits,posit20,0.8631578947368421,6.437731289246074e-06
24bits,posit24,0.8631578947368421,1.6597275966319102e-06
24bits,float24,0.9578947368421054,6.8400894979419035e-06
24bits,posit20,0.9578947368421054,3.138394004661648e-05
24bits,posit24,0.9578947368421054,2.0620858053135294e-06
24bits,float24,1.0526315789473684,4.015470805995847e-08
24bits,posit20,1.0526315789473684,1.1243318257214696e-07
24bits,posit24,1.0526315789473684,2.007735403708466e-09
24bits,float24,1.1473684210526316,1.4295076069004153e-07
24bits,posit20,1.1473684210526316,9.637129934958465e-09
24bits,posit24,1.1473684210526316,9.637129934958465e-09
24bits,float24,1.2421052631578948,9.315892270223003e-08
24bits,posit20,1.2421052631578948,9.315892270223003e-08
24bits,posit24,1.2421052631578948,2.2085089383949707e-09
24bits,float24,1.3368421052631578,4.336708470020767e-08
24bits,posit20,1.3368421052631578,1.0922080591768691e-07
24bits,posit24,1.3368421052631578,5.220112051063097e-09
24bits,float24,1.431578947368421,1.4616313733029073e-07
24bits,posit20,1.431578947368421,6.424753294709262e-09
24bits,posit24,1.431578947368421,6.424753294709262e-09
24bits,float24,1.5263157894736843,9.637129934247924e-08
24bits,posit20,1.5263157894736843,9.637129934247924e-08
24bits,posit24,1.5263157894736843,1.0038677089596604e-09
24bits,float24,1.6210526315789473,4.657946134756231e-08
24bits,posit20,1.6210526315789473,1.0600842927743769e-07
24bits,posit24,1.6210526315789473,8.432488691312302e-09
24bits,float24,1.7157894736842105,1.4937551397764538e-07
24bits,posit20,1.7157894736842105,3.212376647354631e-09
24bits,posit24,1.7157894736842105,3.212376647354631e-09
24bits,float24,1.8105263157894738,9.958367598983386e-08
24bits,posit20,1.8105263157894738,9.958367598983386e-08
24bits,posit24,1.8105263157894738,4.216244349208864e-09
24bits,float24,1.9052631578947368,4.979183799491693e-08
24bits,posit20,1.9052631578947368,1.0279605263008305e-07
24bits,posit24,1.9052631578947368,7.428620989458068e-09
24bits,float24,2.0,0.0
24bits,posit20,2.0,0.0
24bits,posit24,2.0,0.0
32bits,float32,0.2,6.097914601355114e-08
32bits,posit32,0.2,6.097914601355114e-08
32bits,float32,0.2947368421052632,1.4775127745281226e-07
32bits,posit32,0.2947368421052632,1.4775127745281226e-07
32bits,float32,0.3894736842105263,7.615678063643828e-08
32bits,posit32,0.3894736842105263,7.615678063643828e-08
32bits,float32,0.4842105263157895,5.3725677503280164e-08
32bits,posit32,0.4842105263157895,5.3725677503280164e-08
32bits,float32,0.5789473684210527,1.581217127721857e-08
32bits,posit32,0.5789473684210527,1.581217127721857e-08
32bits,float32,0.6736842105263159,1.4459747682593615e-07
32bits,posit32,0.6736842105263159,1.4459747682593615e-07
32bits,float32,0.7684210526315789,6.286844374869816e-09
32bits,posit32,0.7684210526315789,6.286844374869816e-09
32bits,float32,0.8631578947368421,1.3202378457322084e-07
32bits,posit32,0.8631578947368421,1.3202378457322084e-07
32bits,float32,0.9578947368421054,2.8290810206499374e-08
32bits,posit32,0.9578947368421054,2.8290810206499374e-08
32bits,float32,1.0526315789473684,3.764503802017316e-10
