pair,fmt,I,rmse,rate_Hz,rel
16bits,float16,0.31758793969849247,0.0007424383496119745,2490.0,1.135130813831786e-05
16bits,posit16,0.31758793969849247,0.0007424383496119745,2490.0,1.135130813831786e-05
16bits,float16,0.3266331658291457,0.00035449036413470216,3320.0,5.022048855269631e-06
16bits,posit16,0.3266331658291457,0.00035449036413470216,3320.0,5.022048855269631e-06
16bits,float16,0.335678391959799,0.00019658102011203187,3320.0,2.7930102998697414e-06
16bits,posit16,0.335678391959799,0.00019658102011203187,3320.0,2.7930102998697414e-06
16bits,float16,0.34472361809045227,3.867167608564217e-05,3320.0,5.510396710016769e-07
16bits,posit16,0.34472361809045227,3.867167608564217e-05,3320.0,5.510396710016769e-07
16bits,float16,0.35376884422110555,0.00011923766793885284,3320.0,1.7039889069513058e-06
16bits,posit16,0.35376884422110555,0.00011923766793885284,3320.0,1.7039889069513058e-06
16bits,float16,0.36281407035175883,0.00027714701196168755,3320.0,3.972203121455669e-06
16bits,posit16,0.36281407035175883,0.00027714701196168755,3320.0,3.972203121455669e-06
16bits,float16,0.37185929648241206,0.0004350563559772211,3320.0,6.253732508705601e-06
16bits,posit16,0.37185929648241206,0.0004350563559772211,3320.0,6.253732508705601e-06
16bits,float16,0.38090452261306534,0.0005929657000036439,3320.0,8.548708492500926e-06
16bits,posit16,0.38090452261306534,0.0005929657000036439,3320.0,8.548708492500926e-06
16bits,float16,0.38994974874371857,0.0007508750440226825,3320.0,1.085726442263722e-05
16bits,posit16,0.38994974874371857,0.0007508750440226825,3320.0,1.085726442263722e-05
16bits,float16,0.39899497487437185,0.0009021695924828212,3320.0,1.3120818528698688e-05
16bits,posit16,0.39899497487437185,0.0006894239261768149,3320.0,1.0026724797739061e-05
16bits,float16,0.40804020100502514,0.0010589295571383558,3320.0,1.544598045595474e-05
16bits,posit16,0.40804020100502514,0.0005326639615193501,3320.0,7.769654821452077e-06
16bits,float16,0.4170854271356784,0.0012156895217867454,3320.0,1.7784892629242492e-05
16bits,posit16,0.4170854271356784,0.0003759039968673732,3320.0,5.499276010357595e-06
16bits,float16,0.42613065326633165,0.0013724494864423404,3320.0,2.013768942389835e-05
16bits,posit16,0.42613065326633165,0.00021914403221533777,3320.0,3.2154585676508725e-06
16bits,float16,0.43517587939698493,0.0015292094510851446,3320.0,2.2504507082357786e-05
16bits,posit16,0.43517587939698493,6.238406756534837e-05,3320.0,9.180708956185472e-07
16bits,float16,0.44422110552763816,0.001497217621567492,3320.0,2.2099442874274105e-05
16bits,posit16,0.44422110552763816,9.437589708665986e-05,3320.0,1.3930204376146947e-06
16bits,float16,0.45326633165829144,0.0013404576569136897,3320.0,1.9844858043549022e-05
16bits,posit16,0.45326633165829144,0.0002511358617385648,3320.0,3.7179507313277386e-06
16bits,float16,0.4623115577889447,0.0011836976922709112,3320.0,1.7576762032585307e-05
16bits,posit16,0.4623115577889447,0.00040789582638324056,3320.0,6.056857186768714e-06
16bits,float16,0.471356783919598,0.0010269377276188921,3320.0,1.5295020626648537e-05
16bits,posit16,0.471356783919598,0.0005646557910442817,3320.0,8.40987894270497e-06
16bits,float16,0.48040201005025124,0.0008701777629633411,3320.0,1.2999497711587054e-05
16bits,posit16,0.48040201005025124,0.0007214157556907829,3320.0,1.0777157110141335e-05
16bits,float16,0.4894472361809045,0.00039748327878921227,4980.0,5.044985294667995e-06
16bits,posit16,0.4894472361809045,0.00039748327878921227,4980.0,5.044985294667995e-06
16bits,float16,0.4984924623115578,0.00030555906069178315,4990.0,3.916160433853434e-06
16bits,posit16,0.4984924623115578,0.00030555906069178315,4990.0,3.916160433853434e-06
16bits,float16,0.507537688442211,0.0015277953034686037,4990.0,1.961359540145427e-05
16bits,posit16,0.507537688442211,0.00021951081946283287,4990.0,2.8180453162871713e-06
16bits,float16,0.5165829145728643,0.00013346257823890667,4990.0,1.7162461180258743e-06
16bits,posit16,0.5165829145728643,0.00013346257823890667,4990.0,1.7162461180258743e-06
16bits,float16,0.5256281407035176,0.0016998917859313185,4990.0,2.1896295111916453e-05
16bits,posit16,0.5256281407035176,4.741433700492223e-05,4990.0,6.107437686264934e-07
16bits,float16,0.5346733668341708,3.8633904228882004e-05,4990.0,4.98480943557802e-07
16bits,posit16,0.5346733668341708,3.8633904228882004e-05,4990.0,4.98480943557802e-07
16bits,float16,0.543718592964824,0.0016226239774833728,4990.0,2.097151229472609e-05
16bits,posit16,0.543718592964824,0.00012468214545786243,4990.0,1.6114473733201284e-06
16bits,float16,0.5527638190954773,0.00021073038668663268,4990.0,2.7281750202347374e-06
16bits,posit16,0.5527638190954773,0.00021073038668663268,4990.0,2.7281750202347374e-06
16bits,float16,0.5618090452261306,0.001450527495020668,4990.0,1.881072541918778e-05
16bits,posit16,0.5618090452261306,0.0002967786279156229,4990.0,3.848683530072684e-06
16bits,float16,0.5708542713567839,0.00038282686913959917,4990.0,4.972992696424484e-06
16bits,posit16,0.5708542713567839,0.00038282686913959917,4990.0,4.972992696424484e-06
16bits,float16,0.5798994974874372,0.0012784310125578634,4990.0,1.6635270235412924e-05
16bits,posit16,0.5798994974874372,0.00046887511037344357,4990.0,6.10112246269316e-06
16bits,float16,0.5889447236180905,0.000554923351607208,4990.0,7.233092923193804e-06
16bits,posit16,0.5889447236180905,0.000554923351607208,4990.0,7.233092923193804e-06
16bits,float16,0.5979899497487438,0.0011063345301001225,4990.0,1.444499267100175e-05
16bits,posit16,0.5979899497487438,0.0006409715928410622,4990.0,8.368924325333479e-06
16bits,float16,0.607035175879397,0.0007270198340650785,4990.0,9.50863707109853e-06
16bits,posit16,0.607035175879397,0.0007270198340650785,4990.0,9.50863707109853e-06
16bits,float16,0.6160804020100503,0.0009342380476373878,4990.0,1.2239736316768746e-05
16bits,posit16,0.6160804020100503,0.0008130680752988531,4990.0,1.0652251719365941e-05
16bits,float16,0.6251256281407035,0.0008991163165278233,4990.0,1.1799788986870247e-05
16bits,posit16,0.6251256281407035,0.0008481898064084476,4990.0,1.1131441563738404e-05
16bits,float16,0.6341708542713568,0.0007621415651795173,4990.0,1.0019342374021554e-05
16bits,posit16,0.6341708542713568,0.0007621415651795173,4990.0,1.0019342374021554e-05
16bits,float16,0.6432160804020101,0.001071212798990638,4990.0,1.4106715050293893e-05
16bits,posit16,0.6432160804020101,0.0006760933239458029,4990.0,8.903418515250868e-06
16bits,float16,0.6522613065326632,0.0005900450827216767,4990.0,7.783649598953333e-06
16bits,posit16,0.6522613065326632,0.0005900450827216767,4990.0,7.783649598953333e-06
16bits,float16,0.6613065326633165,0.0012321158152709536,4990.0,1.6324225743221616e-05
16bits,posit16,0.6613065326633165,0.0004994593771029973,4990.0,6.6173061982862175e-06
16bits,float16,0.6703517587939698,0.0004141858249070992,4990.0,5.49688176334101e-06
16bits,posit16,0.6703517587939698,0.0004141858249070992,4990.0,5.49688176334101e-06
16bits,float16,0.6793969849246231,0.0014026629196477124,4990.0,1.8647295606130238e-05
16bits,posit16,0.6793969849246231,0.00032891227272129986,4990.0,4.372628870419132e-06
16bits,float16,0.6884422110552764,0.0002436387205304009,4990.0,3.2445278036732626e-06
16bits,posit16,0.6884422110552764,0.0002436387205304009,4990.0,3.2445278036732626e-06
16bits,float16,0.6974874371859296,0.001573210024019492,4990.0,2.0986297527169103e-05
16bits,posit16,0.6974874371859296,0.00015836516834451117,4990.0,2.1125587112179536e-06
16bits,float16,0.7065326633165829,7.309161616363053e-05,4990.0,9.767016034665672e-07
16bits,posit16,0.7065326633165829,7.309161616363053e-05,4990.0,9.767016034665672e-07
16bits,float16,0.7155778894472362,0.0017193932563417237,4990.0,2.3015269194005343e-05
16bits,posit16,0.7155778894472362,1.2181936027268397e-05,4990.0,1.6306364814314225e-07
16bits,float16,0.7246231155778895,9.745548821315814e-05,4990.0,1.3067573117635263e-06
16bits,posit16,0.7246231155778895,9.745548821315814e-05,4990.0,1.3067573117635263e-06
16bits,float16,0.7336683417085428,0.001548846151964945,4990.0,2.080396018459158e-05
16bits,posit16,0.7336683417085428,0.0001827290404040169,4990.0,2.4543997971080007e-06
16bits,float16,0.7427135678391961,0.0002680025925898866,4990.0,3.606011656092742e-06
16bits,posit16,0.7427135678391961,0.0002680025925898866,4990.0,3.606011656092742e-06
16bits,float16,0.7517587939698491,0.0013782990475982048,4990.0,1.857732984717484e-05
16bits,posit16,0.7517587939698491,0.0003532761447708174,4990.0,4.761613584498842e-06
16bits,float16,0.7608040201005024,0.0004385496969566971,4990.0,5.921226423244839e-06
