step,time_ms,v_float64,v_float32,diff_float32,v_float16,diff_float16,v_posit16,diff_posit16
26,2.6,-65.2468542869421,-65.24685668945312,2.402511029231391e-06,-65.125,0.12185428694209577,-65.125,0.12185428694209577
27,2.7,-65.09438574407268,-65.09439086914062,5.125067943367867e-06,-65.0,0.09438574407268163,-65.0,0.09438574407268163
28,2.8000000000000003,-64.94344188663196,-64.94344329833984,1.4117078848130404e-06,-64.875,0.06844188663195894,-64.875,0.06844188663195894
29,2.9000000000000004,-64.79400746776564,-64.79400634765625,1.1201093883528301e-06,-64.75,0.04400746776563835,-64.75,0.04400746776563835
30,3.0,-64.64606739308798,-64.64606475830078,2.634787193755983e-06,-64.625,0.021067393087975006,-64.625,0.021067393087975006
31,3.1,-64.4996067191571,-64.49960327148438,3.447672725087614e-06,-64.5,0.0003932808428999124,-64.5,0.0003932808428999124
32,3.2,-64.35461065196553,-64.35460662841797,4.023547560905172e-06,-64.375,0.020389348034470345,-64.375,0.020389348034470345
33,3.3000000000000003,-64.21106454544588,-64.2110595703125,4.975133379048202e-06,-64.25,0.03893545455412095,-64.25,0.03893545455412095
34,3.4000000000000004,-64.06895389999141,-64.0689468383789,7.06161250718651e-06,-64.125,0.056046100008586563,-64.125,0.056046100008586563
35,3.5,-63.9282643609915,-63.92825698852539,7.3724661078244935e-06,-63.96875,0.04048563900850155,-63.96875,0.04048563900850155
36,3.6,-63.78898171738158,-63.78897476196289,6.955418690779425e-06,-63.84375,0.054768282618418596,-63.84375,0.054768282618418596
37,3.7,-63.65109190020777,-63.651084899902344,7.00030542333252e-06,-63.71875,0.06765809979223292,-63.71875,0.06765809979223292
38,3.8000000000000003,-63.51458098120569,-63.51457214355469,8.837651002124858e-06,-63.59375,0.07916901879431038,-63.59375,0.07916901879431038
39,3.9000000000000004,-63.37943517139363,-63.379425048828125,1.0122565505810144e-05,-63.46875,0.08931482860636919,-63.46875,0.08931482860636919
40,4.0,-63.24564081967969,-63.24563217163086,8.648048833492794e-06,-63.34375,0.09810918032030713,-63.34375,0.09810918032030713
41,4.1000000000000005,-63.1131844114829,-63.11317443847656,9.973006335428636e-06,-63.21875,0.10556558851710207,-63.21875,0.10556558851710207
42,4.2,-62.98205256736807,-62.9820442199707,8.347397368879683e-06,-63.09375,0.111697432631928,-63.09375,0.111697432631928
43,4.3,-62.85223204169439,-62.85222244262695,9.599067439580722e-06,-62.96875,0.1165179583056073,-62.96875,0.1165179583056073
44,4.4,-62.72370972127745,-62.72370147705078,8.244226670228727e-06,-62.84375,0.12004027872254852,-62.84375,0.12004027872254852
45,4.5,-62.596472624064674,-62.596466064453125,6.5596115490507145e-06,-62.71875,0.12227737593532595,-62.71875,0.12227737593532595
46,4.6000000000000005,-62.47050789782403,-62.47050094604492,6.95177910614575e-06,-62.59375,0.12324210217597198,-62.59375,0.12324210217597198
