pair,fmt,I,pearson,spike_rmse,spec_entropy
16bits,posit16,-1.7393483709273183,0.9999999999999992,0.0,2.409232089520251
16bits,float16,-1.7293233082706767,0.999999999999999,0.0,2.4092320895202506
16bits,posit16,-1.7293233082706767,0.999999999999999,0.0,2.4092320895202506
16bits,float16,-1.719298245614035,1.0,0.0,2.409232089520246
16bits,posit16,-1.719298245614035,0.9999999999999999,0.0,2.409232089520249
16bits,float16,-1.7092731829573935,0.9999999999999998,0.0,2.4092320895202493
16bits,posit16,-1.7092731829573935,0.9999999999999996,0.0,2.4092320895202475
16bits,float16,-1.699248120300752,1.0,0.0,2.409232089520248
16bits,posit16,-1.699248120300752,1.0,0.0,2.409232089520248
16bits,float16,-1.6892230576441103,1.0,0.0,2.4092320895202475
16bits,posit16,-1.6892230576441103,1.0,0.0,2.4092320895202475
16bits,float16,-1.6791979949874687,1.0,0.0,2.409232089520246
16bits,posit16,-1.6791979949874687,0.9999999999999992,0.0,2.4092320895202475
16bits,float16,-1.669172932330827,0.9999999999999999,0.0,2.409232089520248
16bits,posit16,-1.669172932330827,0.9999999999999999,0.0,2.409232089520248
16bits,float16,-1.6591478696741855,1.0,0.0,2.4092320895202506
16bits,posit16,-1.6591478696741855,1.0,0.0,2.4092320895202506
16bits,float16,-1.6491228070175439,1.0,0.0,2.4092320895202475
16bits,posit16,-1.6491228070175439,0.9999999999999996,0.0,2.4092320895202475
16bits,float16,-1.6390977443609023,0.9999999999999996,0.0,2.4092320895202506
16bits,posit16,-1.6390977443609023,1.0,0.0,2.4092320895202457
16bits,float16,-1.6290726817042607,1.0,0.0,2.409232089520251
16bits,posit16,-1.6290726817042607,1.0,0.0,2.409232089520251
16bits,float16,-1.619047619047619,1.0,0.0,2.409232089520251
16bits,posit16,-1.619047619047619,1.0,0.0,2.409232089520251
16bits,float16,-1.6090225563909775,0.9999999999999994,0.0,2.4092320895202475
16bits,posit16,-1.6090225563909775,0.9999999999999998,0.0,2.4092320895202475
16bits,float16,-1.5989974937343359,1.0,0.0,2.4092320895202493
16bits,posit16,-1.5989974937343359,0.9999999999999999,0.0,2.4092320895202493
16bits,float16,-1.5889724310776943,1.0,0.0,2.4092320895202524
16bits,posit16,-1.5889724310776943,1.0,0.0,2.4092320895202524
16bits,float16,-1.5789473684210527,1.0,0.0,2.409232089520251
16bits,posit16,-1.5789473684210527,1.0,0.0,2.409232089520251
16bits,float16,-1.568922305764411,1.0,0.0,2.4092320895202484
16bits,posit16,-1.568922305764411,1.0,0.0,2.409232089520251
16bits,float16,-1.5588972431077694,0.9999999999999991,0.0,2.4092320895202493
16bits,posit16,-1.5588972431077694,1.0,0.0,2.4092320895202493
16bits,float16,-1.5488721804511278,0.9999999999999993,0.0,2.4092320895202506
16bits,posit16,-1.5488721804511278,0.9999999999999993,0.0,2.4092320895202506
16bits,float16,-1.5388471177944862,0.9999999999999997,0.0,2.4092320895202475
16bits,posit16,-1.5388471177944862,0.9999999999999997,0.0,2.4092320895202475
16bits,float16,-1.5288220551378446,0.9999999999999999,0.0,2.409232089520251
16bits,posit16,-1.5288220551378446,0.9999999999999997,0.0,2.4092320895202475
16bits,float16,-1.518796992481203,1.0,0.0,2.409232089520248
16bits,posit16,-1.518796992481203,1.0,0.0,2.409232089520248
16bits,float16,-1.5087719298245614,0.9999999999999997,0.0,2.409232089520251
16bits,posit16,-1.5087719298245614,0.9999999999999997,0.0,2.409232089520251
16bits,float16,-1.4987468671679198,0.9999999999999999,0.0,2.4092320895202475
16bits,posit16,-1.4987468671679198,1.0,0.0,2.409232089520253
16bits,float16,-1.4887218045112782,0.9999999999999999,0.0,2.4092320895202506
16bits,posit16,-1.4887218045112782,1.0,0.0,2.4092320895202475
16bits,float16,-1.4786967418546366,1.0,0.0,2.409232089520248
16bits,posit16,-1.4786967418546366,1.0,0.0,2.409232089520248
16bits,float16,-1.468671679197995,0.9999999999999999,0.0,2.409232089520246
16bits,posit16,-1.468671679197995,0.9999999999999999,0.0,2.409232089520246
16bits,float16,-1.4586466165413534,1.0,0.0,2.4092320895202475
16bits,posit16,-1.4586466165413534,0.9999999999999999,0.0,2.409232089520251
16bits,float16,-1.4486215538847118,0.9999999999999999,0.0,2.409232089520246
16bits,posit16,-1.4486215538847118,0.9999999999999999,0.0,2.4092320895202475
16bits,float16,-1.4385964912280702,1.0,0.0,2.409232089520251
16bits,posit16,-1.4385964912280702,1.0,0.0,2.409232089520251
16bits,float16,-1.4285714285714286,0.9999999999999996,0.0,2.4092320895202475
16bits,posit16,-1.4285714285714286,0.9999999999999996,0.0,2.4092320895202475
