pair,fmt,I,rmse,rate_Hz
16bits,float16,-1.1278195488721805,4.443503676398413e+19,0.0
16bits,posit16,-1.1278195488721805,4.443503676398413e+19,0.0
16bits,float16,-1.117794486215539,1.4910423446333886e+20,0.0
16bits,posit16,-1.117794486215539,4.78910951741976e+19,0.0
16bits,float16,-1.1077694235588973,1.4021722711023544e+20,0.0
16bits,posit16,-1.1077694235588973,5.6778102526205256e+19,0.0
16bits,float16,-1.0977443609022557,3.5548029405751943e+19,0.0
16bits,posit16,-1.0977443609022557,3.5548029405751943e+19,0.0
16bits,float16,-1.087719298245614,6.912116829414802e+19,0.0
16bits,posit16,-1.087719298245614,6.912116829414802e+19,0.0
16bits,float16,-1.0776942355889725,1.7379036599808898e+20,0.0
16bits,posit16,-1.0776942355889725,2.3204963639994753e+19,0.0
16bits,float16,-1.0676691729323309,1.1553109557499434e+20,0.0
16bits,posit16,-1.0676691729323309,8.146423406114398e+19,0.0
16bits,float16,-1.0576441102756893,1.0861897873122384e+19,0.0
16bits,posit16,-1.0576441102756893,1.0861897873122384e+19,0.0
16bits,float16,-1.0476190476190477,9.380729982777103e+19,0.0
16bits,posit16,-1.0476190476190477,9.380729982777103e+19,0.0
16bits,float16,-1.037593984962406,1.955141617434165e+20,0.0
16bits,posit16,-1.037593984962406,1.4811678913519892e+18,0.0
16bits,float16,-1.0275689223057645,9.08449640414232e+19,0.0
16bits,posit16,-1.0275689223057645,9.08449640414232e+19,0.0
16bits,float16,-1.0175438596491229,1.3824233656618273e+19,0.0
16bits,posit16,-1.0175438596491229,1.3824233656618273e+19,0.0
16bits,float16,-1.0075187969924813,1.1849343136147307e+20,0.0
16bits,posit16,-1.0075187969924813,7.850189827393564e+19,0.0
16bits,float16,-0.9974937343358397,2.6167299424023196e+19,0.0
16bits,posit16,-0.9974937343358397,2.6167299424023196e+19,0.0
16bits,float16,-0.987468671679198,6.615883250850295e+19,0.0
16bits,posit16,-0.987468671679198,3.2338832309702095e+19,0.0
16bits,float16,-0.9774436090225564,3.851036519320021e+19,0.0
16bits,posit16,-0.9774436090225564,3.851036519320021e+19,0.0
16bits,float16,-0.9674185463659148,5.3815766742717465e+19,0.0
16bits,posit16,-0.9674185463659148,4.468189807007339e+19,0.0
16bits,float16,-0.9573934837092732,5.085343095822852e+19,0.0
16bits,posit16,-0.9573934837092732,4.7644233857668415e+19,0.0
16bits,float16,-0.9473684210526316,4.147270097787414e+19,0.0
16bits,posit16,-0.9473684210526316,4.147270097787414e+19,0.0
16bits,float16,-0.93734335839599,6.3196496725022155e+19,0.0
16bits,posit16,-0.93734335839599,3.530116809309957e+19,0.0
16bits,float16,-0.9273182957393484,2.9129635211900924e+19,0.0
16bits,posit16,-0.9273182957393484,2.9129635211900924e+19,0.0
16bits,float16,-0.9172932330827068,7.553956249076058e+19,0.0
16bits,posit16,-0.9172932330827068,2.295810232776795e+19,0.0
16bits,float16,-0.9072681704260652,1.6786569439871715e+19,0.0
16bits,posit16,-0.9072681704260652,1.6786569439871715e+19,0.0
16bits,float16,-0.8972431077694236,8.788262825907664e+19,0.0
16bits,posit16,-0.8972431077694236,1.0615036557754874e+19,0.0
16bits,float16,-0.887218045112782,4.4435036732792366e+18,0.0
16bits,posit16,-0.887218045112782,4.4435036732792366e+18,0.0
16bits,float16,-0.8771929824561404,9.676963560950409e+19,0.0
16bits,posit16,-0.8771929824561404,1.7280292076070077e+18,0.0
16bits,float16,-0.8671679197994988,7.899562086973998e+18,0.0
16bits,posit16,-0.8671679197994988,7.899562086973998e+18,0.0
16bits,float16,-0.8571428571428572,8.442656984207814e+19,0.0
16bits,posit16,-0.8571428571428572,1.407109497355139e+19,0.0
16bits,float16,-0.8471177944862156,2.024262785738085e+19,0.0
16bits,posit16,-0.8471177944862156,2.024262785738085e+19,0.0
16bits,float16,-0.837092731829574,7.2083504076958425e+19,0.0
16bits,posit16,-0.837092731829574,2.6414160742857277e+19,0.0
16bits,float16,-0.8270676691729324,3.258569362327518e+19,0.0
16bits,posit16,-0.8270676691729324,3.258569362327518e+19,0.0
16bits,float16,-0.8170426065162908,5.9740438311146275e+19,0.0
16bits,posit16,-0.8170426065162908,3.875722650569133e+19,0.0
16bits,float16,-0.8070175438596492,4.492875939161395e+19,0.0
16bits,posit16,-0.8070175438596492,4.492875939161395e+19,0.0
16bits,float16,-0.7969924812030076,4.739737254551254e+19,0.0
16bits,posit16,-0.7969924812030076,4.739737254551254e+19,0.0
16bits,float16,-0.786967418546366,5.727182515920958e+19,0.0
16bits,posit16,-0.786967418546366,4.122583966050998e+19,0.0
16bits,float16,-0.7769423558897244,3.5054306772740956e+19,0.0
16bits,posit16,-0.7769423558897244,3.5054306772740956e+19,0.0
16bits,float16,-0.7669172932330828,6.961489092109416e+19,0.0
16bits,posit16,-0.7669172932330828,2.8882773896474018e+19,0.0
16bits,float16,-0.7568922305764412,2.271124101146053e+19,0.0
16bits,posit16,-0.7568922305764412,2.271124101146053e+19,0.0
16bits,float16,-0.7468671679197996,8.195795668962499e+19,0.0
16bits,posit16,-0.7468671679197996,1.6539708127179168e+19,0.0
16bits,float16,-0.736842105263158,1.0368175245275802e+19,0.0
16bits,posit16,-0.736842105263158,1.0368175245275802e+19,0.0
16bits,float16,-0.7268170426065164,9.430102245684981e+19,0.0
16bits,posit16,-0.7268170426065164,4.1966423614726907e+18,0.0
16bits,float16,-0.7167919799498748,1.974890523434098e+18,0.0
16bits,posit16,-0.7167919799498748,1.974890523434098e+18,0.0
16bits,float16,-0.7067669172932332,9.035124141283346e+19,0.0
16bits,posit16,-0.7067669172932332,8.146423406663622e+18,0.0
16bits,float16,-0.6967418546365916,1.4317956289013602e+19,0.0
16bits,posit16,-0.6967418546365916,1.4317956289013602e+19,0.0
16bits,float16,-0.68671679197995,7.800817564394576e+19,0.0
16bits,posit16,-0.68671679197995,2.0489489173735694e+19,0.0
16bits,float16,-0.6766917293233083,2.666102205571118e+19,0.0
16bits,posit16,-0.6766917293233083,2.666102205571118e+19,0.0
16bits,float16,-0.6666666666666667,6.56651098803811e+19,0.0
16bits,posit16,-0.6666666666666667,3.28325549389268e+19,0.0
16bits,float16,-0.6566416040100251,3.900408782165907e+19,0.0
16bits,posit16,-0.6566416040100251,3.900408782165907e+19,0.0
16bits,float16,-0.6466165413533835,5.332204411398887e+19,0.0
16bits,posit16,-0.6466165413533835,4.517562070372013e+19,0.0
16bits,float16,-0.6365914786967419,5.134715358983777e+19,0.0
16bits,posit16,-0.6365914786967419,4.7150511226499875e+19,0.0
16bits,float16,-0.6265664160401003,4.09789783428624e+19,0.0
16bits,posit16,-0.6265664160401003,4.09789783428624e+19,0.0
16bits,float16,-0.6165413533834587,6.369021935660737e+19,0.0
16bits,posit16,-0.6165413533834587,3.480744546231651e+19,0.0
16bits,float16,-0.6065162907268171,2.8635912579140776e+19,0.0
16bits,posit16,-0.6065162907268171,2.8635912579140776e+19,0.0
16bits,float16,-0.5964912280701755,7.603328512336817e+19,0.0
16bits,posit16,-0.5964912280701755,2.246437969424523e+19,0.0
16bits,float16,-0.5864661654135339,1.629284681264284e+19,0.0
16bits,posit16,-0.5864661654135339,1.629284681264284e+19,0.0
16bits,float16,-0.5764411027568923,8.837635088813538e+19,0.0
16bits,posit16,-0.5764411027568923,1.0121313929660432e+19,0.0
16bits,float16,-0.5664160401002507,3.9497810462831744e+18,0.0
16bits,posit16,-0.5664160401002507,3.9497810462831744e+18,0.0
16bits,float16,-0.5563909774436091,9.627591298031824e+19,0.0
16bits,posit16,-0.5563909774436091,2.2217518390782991e+18,0.0
16bits,float16,-0.5463659147869675,8.393284719960705e+18,0.0
16bits,posit16,-0.5463659147869675,8.393284719960705e+18,0.0
16bits,float16,-0.5363408521303259,8.393284721239184e+19,0.0
16bits,posit16,-0.5363408521303259,1.4564817603780323e+19,0.0
16bits,float16,-0.5263157894736843,2.0736350488191308e+19,0.0
16bits,posit16,-0.5263157894736843,2.0736350488191308e+19,0.0
16bits,float16,-0.5162907268170427,7.158978144564832e+19,0.0
16bits,posit16,-0.5162907268170427,2.690788337165631e+19,0.0
16bits,float16,-0.5062656641604011,3.3079416253180236e+19,0.0
16bits,posit16,-0.5062656641604011,3.3079416253180236e+19,0.0
16bits,float16,-0.4962406015037595,3.925094913840324e+19,0.0
16bits,posit16,-0.4962406015037595,9.997883270724817e+18,0.0
16bits,float16,-0.4862155388471179,4.542248201944326e+19,0.0
16bits,posit16,-0.4862155388471179,3.826350389083382e+18,0.0
16bits,float16,-0.4761904761904763,4.690364991419875e+19,0.0
16bits,posit16,-0.4761904761904763,2.3451824951544417e+18,0.0
16bits,float16,-0.46616541353383467,4.073211703075785e+19,0.0
16bits,posit16,-0.46616541353383467,8.516715378929353e+18,0.0
16bits,float16,-0.45614035087719307,3.4560584146269237e+19,0.0
16bits,posit16,-0.45614035087719307,1.468824826317889e+19,0.0
16bits,float16,-0.44611528822055146,2.8389051264047178e+19,0.0
16bits,posit16,-0.44611528822055146,2.0859781145044894e+19,0.0
16bits,float16,-0.43609022556390986,2.2217518380025397e+19,0.0
16bits,posit16,-0.43609022556390986,2.2217518380025397e+19,0.0
16bits,float16,-0.42606516290726826,1.6045985497236906e+19,0.0
16bits,posit16,-0.42606516290726826,1.6045985497236906e+19,0.0
16bits,float16,-0.41604010025062665,9.874452613227082e+18,0.0
16bits,posit16,-0.41604010025062665,9.874452613227082e+18,0.0
16bits,float16,-0.40601503759398505,3.7029197312928394e+18,0.0
16bits,posit16,-0.40601503759398505,3.7029197312928394e+18,0.0
16bits,float16,-0.39598997493734345,2.468613153317843e+18,0.0
16bits,posit16,-0.39598997493734345,2.468613153317843e+18,0.0
16bits,float16,-0.38596491228070184,8.640146036278754e+18,0.0
16bits,posit16,-0.38596491228070184,8.640146036278754e+18,0.0
16bits,float16,-0.37593984962406024,1.481167891894819e+19,0.0
16bits,posit16,-0.37593984962406024,1.481167891894819e+19,0.0
16bits,float16,-0.36591478696741864,2.0983211802484638e+19,0.0
16bits,posit16,-0.36591478696741864,2.0983211802484638e+19,0.0
16bits,float16,-0.35588972431077703,2.715474468585312e+19,0.0
16bits,posit16,-0.35588972431077703,2.209408772297443e+19,0.0
16bits,float16,-0.34586466165413543,3.3326277569521435e+19,0.0
16bits,posit16,-0.34586466165413543,1.5922554839548328e+19,0.0
16bits,float16,-0.3358395989974938,3.949781045281836e+19,0.0
16bits,posit16,-0.3358395989974938,9.751021956268489e+18,0.0
16bits,float16,-0.3258145363408522,4.5669343337591955e+19,0.0
16bits,posit16,-0.3258145363408522,3.579489071672687e+18,0.0
16bits,float16,-0.3157894736842106,4.665678859855851e+19,0.0
16bits,posit16,-0.3157894736842106,2.5920438112003374e+18,0.0
16bits,float16,-0.305764411027569,4.0485255714214035e+19,0.0
16bits,posit16,-0.305764411027569,8.763576694668448e+18,0.0
16bits,float16,-0.2957393483709274,3.4313722831441543e+19,0.0
16bits,posit16,-0.2957393483709274,1.4935109577171294e+19,0.0
16bits,float16,-0.2857142857142858,2.814218994794954e+19,0.0
16bits,posit16,-0.2857142857142858,2.110664246033296e+19,0.0
16bits,float16,-0.2756892230576442,2.1970657063780782e+19,0.0
16bits,posit16,-0.2756892230576442,2.1970657063780782e+19,0.0
16bits,float16,-0.2656641604010026,1.5799124180353237e+19,0.0
16bits,posit16,-0.2656641604010026,1.5799124180353237e+19,0.0
