I,type,rmse_spike,total_spikes,firing_rate,sparsity
-3.943943943943944,posit16,0.0,0,0.0,1.0
-3.943943943943944,posit20,0.0,0,0.0,1.0
-3.943943943943944,posit24,0.0,0,0.0,1.0
-3.943943943943944,posit32,0.0,0,0.0,1.0
-3.935935935935936,float64,0.0,0,0.0,1.0
-3.935935935935936,float32,0.0,0,0.0,1.0
-3.935935935935936,float16,0.0,0,0.0,1.0
-3.935935935935936,posit16,0.0,0,0.0,1.0
-3.935935935935936,posit20,0.0,0,0.0,1.0
-3.935935935935936,posit24,0.0,0,0.0,1.0
-3.935935935935936,posit32,0.0,0,0.0,1.0
-3.9279279279279278,float64,0.0,0,0.0,1.0
-3.9279279279279278,float32,0.0,0,0.0,1.0
-3.9279279279279278,float16,0.0,0,0.0,1.0
-3.9279279279279278,posit16,0.0,0,0.0,1.0
-3.9279279279279278,posit20,0.0,0,0.0,1.0
-3.9279279279279278,posit24,0.0,0,0.0,1.0
-3.9279279279279278,posit32,0.0,0,0.0,1.0
-3.91991991991992,float64,0.0,0,0.0,1.0
-3.91991991991992,float32,0.0,0,0.0,1.0
-3.91991991991992,float16,0.0,0,0.0,1.0
-3.91991991991992,posit16,0.0,0,0.0,1.0
-3.91991991991992,posit20,0.0,0,0.0,1.0
-3.91991991991992,posit24,0.0,0,0.0,1.0
-3.91991991991992,posit32,0.0,0,0.0,1.0
-3.911911911911912,float64,0.0,0,0.0,1.0
-3.911911911911912,float32,0.0,0,0.0,1.0
-3.911911911911912,float16,0.0,0,0.0,1.0
-3.911911911911912,posit16,0.0,0,0.0,1.0
-3.911911911911912,posit20,0.0,0,0.0,1.0
-3.911911911911912,posit24,0.0,0,0.0,1.0
-3.911911911911912,posit32,0.0,0,0.0,1.0
-3.903903903903904,float64,0.0,0,0.0,1.0
-3.903903903903904,float32,0.0,0,0.0,1.0
-3.903903903903904,float16,0.0,0,0.0,1.0
-3.903903903903904,posit16,0.0,0,0.0,1.0
-3.903903903903904,posit20,0.0,0,0.0,1.0
-3.903903903903904,posit24,0.0,0,0.0,1.0
-3.903903903903904,posit32,0.0,0,0.0,1.0
-3.895895895895896,float64,0.0,0,0.0,1.0
-3.895895895895896,float32,0.0,0,0.0,1.0
-3.895895895895896,float16,0.0,0,0.0,1.0
-3.895895895895896,posit16,0.0,0,0.0,1.0
-3.895895895895896,posit20,0.0,0,0.0,1.0
-3.895895895895896,posit24,0.0,0,0.0,1.0
