neuron,label,total_spikes,mean_voltage,voltage_entropy
53,float16,135,-57.67014270395136,2.5539091490059604
54,float16,127,-57.56193444517239,2.5333147819651454
55,float16,156,-57.57234587052572,2.5201280692184462
56,float16,141,-57.593026623121844,2.541562533695569
57,float16,133,-57.49587324696225,2.531504723650867
58,float16,150,-57.6407171463947,2.5208732870618236
59,float16,161,-57.604013993995686,2.5762633635745553
60,float16,135,-57.61313949956112,2.540097560207363
61,float16,125,-57.57860582541512,2.550818579323818
62,float16,136,-57.6278197181656,2.549170688782826
63,float16,142,-57.482200286225165,2.5499557778959643
64,float16,151,-57.76270341782227,2.5826931278349305
65,float16,130,-57.67183651710324,2.5554233345184123
66,float16,138,-57.63037840121807,2.5532146481906692
67,float16,140,-57.563448281474905,2.5417248581393377
68,float16,145,-57.56550694700071,2.5415541636182915
69,float16,123,-57.68387759231453,2.5932187334687096
70,float16,137,-57.610200729539876,2.548287569682672
71,float16,138,-57.56471655998555,2.538121157141824
72,float16,128,-57.6378167972569,2.5507557926074047
73,float16,121,-57.5419884383269,2.5581050264590477
74,float16,147,-57.55619646586123,2.542172937240145
75,float16,137,-57.616690836788386,2.5296631695258998
76,float16,134,-57.56084536864058,2.5658004428844827
77,float16,137,-57.47160543453708,2.5490534362137627
78,float16,140,-57.6273863461463,2.550822503983556
79,float16,146,-57.64482158048648,2.5370578470470884
80,float16,138,-57.70239136064757,2.538438926544197
81,float16,139,-57.56215980846804,2.5474065040046323
82,float16,134,-57.657970608280564,2.5490562975576974
83,float16,133,-57.57125981144495,2.5315132144067047
84,float16,125,-57.44603568204463,2.5571329653013652
85,float16,143,-57.596841443370955,2.5868897531124295
86,float16,130,-57.61734659539839,2.5288546272396015
87,float16,132,-57.55591966276777,2.5549040793407185
88,float16,142,-57.606558434822226,2.5848695682350846
89,float16,135,-57.655026298354166,2.536369076659593
90,float16,129,-57.571937043529786,2.5512868608520187
91,float16,133,-57.58923713814103,2.5486922059609762
92,float16,141,-57.531359502613746,2.51891694083675
93,float16,134,-57.58756942495698,2.540117579988957
94,float16,135,-57.626424409971456,2.5178744597022225
95,float16,140,-57.650125484661636,2.5389228753881117
96,float16,124,-57.66104653960202,2.5578430935207837
97,float16,143,-57.6419016646214,2.58767565672541
98,float16,138,-57.62823452833075,2.544503709806214
99,float16,139,-57.616372333148405,2.5319592979668433
0,posit16,138,-57.58869319527086,2.538377371771063
1,posit16,130,-57.51426192880931,2.5590408571618704
2,posit16,139,-57.61606821889479,2.544771558775196
3,posit16,156,-57.59056194243647,2.5411540183419192
4,posit16,131,-57.53834368652178,2.5465490460388254
5,posit16,122,-57.54982999521121,2.5538577070828232
6,posit16,149,-57.623890157009505,2.5203343725181746
7,posit16,133,-57.5547373838543,2.5487714055570825
8,posit16,132,-57.58061074779582,2.552215332418677
9,posit16,135,-57.59549297359536,2.55596268198176
10,posit16,154,-57.56064605519378,2.5312088308223055
11,posit16,151,-57.59026542920285,2.5408848149995107
12,posit16,133,-57.654218315336585,2.553798249225995
13,posit16,145,-57.53547386624889,2.5487147138169033
14,posit16,128,-57.57115477518346,2.555908749314805
15,posit16,134,-57.66876511716937,2.529742119121695
16,posit16,145,-57.5765269764982,2.5152325268093074
17,posit16,135,-57.626858919154955,2.553144117269053
18,posit16,158,-57.69553277571354,2.5626643097967317
19,posit16,152,-57.57627281609359,2.5370762529068047
20,posit16,143,-57.409630886183535,2.520098646650699
21,posit16,127,-57.68749269695429,2.549809912666797
22,posit16,127,-57.65041331821389,2.5535241619758735
23,posit16,144,-57.57572858040125,2.5275370754687456
24,posit16,127,-57.5544844456014,2.5558556320008545
25,posit16,140,-57.64556770167427,2.519363353386947
26,posit16,144,-57.57044949055008,2.536074589848013
27,posit16,130,-57.522030546446985,2.5334419814389317
28,posit16,146,-57.6325461940077,2.538450483019625
29,posit16,134,-57.6138282799206,2.5505664901638463
30,posit16,147,-57.64648890296271,2.5354464352303365
31,posit16,162,-57.59679585982289,2.5447167202106136
32,posit16,138,-57.623846393036686,2.601773942196338
33,posit16,135,-57.5741618454993,2.5321542666967827
34,posit16,119,-57.61126581162418,2.5577416336320415
35,posit16,150,-57.54240664139457,2.5466660294330903
36,posit16,133,-57.656579526672694,2.5412234693650384
37,posit16,144,-57.663597852309785,2.5866465239535255
38,posit16,134,-57.623238643383566,2.5457985629269437
39,posit16,140,-57.58806644948776,2.539593175710977
40,posit16,136,-57.575317556270996,2.509131903258405
41,posit16,142,-57.60185369223241,2.5027575716798593
42,posit16,137,-57.52319789093935,2.549983990883526
43,posit16,130,-57.69745143394054,2.5365569673157755
44,posit16,145,-57.524655207755934,2.5222528921547873
45,posit16,138,-57.60130636506741,2.5366396861199743
46,posit16,144,-57.680909880734575,2.5282381825037725
47,posit16,130,-57.536296507841435,2.540032203516526
48,posit16,130,-57.57256232005228,2.537591556377121
49,posit16,147,-57.63574235479909,2.55521099747278
50,posit16,133,-57.58231383654793,2.546197468753858
51,posit16,140,-57.67400246993603,2.543769430926085
52,posit16,132,-57.472666455226545,2.5471643382236095
53,posit16,136,-57.51743518521364,2.5550391114062836
54,posit16,142,-57.561806092322165,2.512944710899082
55,posit16,142,-57.73122155901151,2.609053128368987
56,posit16,126,-57.669194391411864,2.5525024444366955
57,posit16,151,-57.617054888651765,2.5206883373930125
58,posit16,144,-57.587631602898796,2.534642815039962
59,posit16,119,-57.589299429454535,2.5583411943689405
