Tiempo (ms),Voltaje (mV)
131.9,-57.552816930904804
132.0,-57.42834410021385
132.1,-57.30262654121599
132.20000000000002,-57.17565180662815
132.3,-57.04740732469443
132.4,-56.917880397941374
132.5,-56.78705820192079
132.6,-56.65492778394
132.70000000000002,-56.5214760617794
132.8,-56.386689822397194
132.9,-56.250555720621165
133.0,-56.11306027782738
133.1,-55.97418988060565
133.20000000000002,-55.8339307794117
133.3,-55.69226908720582
133.4,-55.54919077807788
133.5,-55.404681685858655
133.6,-55.25872750271724
133.70000000000002,-55.111313777744414
133.8,-54.962425915521855
133.9,-54.81204917467707
134.0,-54.66016866642384
134.1,-54.50676935308808
134.20000000000002,-54.35183604661896
134.3,-54.19535340708516
134.4,-54.037305941156006
134.5,-53.87767800056756
134.6,-53.71645378057324
134.70000000000002,-53.553617318378976
134.8,-53.38915249156276
134.9,-53.22304301647839
135.0,-53.05527244664317
135.1,-52.885824171109604
135.20000000000002,-52.7146814128207
135.3,-52.54182722694891
135.4,-52.367244499218394
135.5,-52.19091594421058
135.6,-52.01282410365269
135.70000000000002,-51.832951344689214
135.8,-51.651279858136114
135.89999999999998,-51.46779165671747
136.0,-51.282468573284646
136.1,-51.0952922590175
136.20000000000002,-50.90624418160767
136.3,-50.715305623423745
136.39999999999998,-50.52245767965798
136.5,-50.32768125645456
136.6,-50.13095706901911
136.70000000000002,-60.0
136.8,-59.899998999999994
136.89999999999998,-59.79899799
137.0,-59.6969869699
137.1,-59.593955839599
137.20000000000002,-59.48989439799499
137.3,-59.38479234197493
137.4,-59.27863926539468
137.5,-59.17142465804862
137.6,-59.06313790462911
137.70000000000002,-58.9537682836754
137.8,-58.84330496651215
137.9,-58.73173701617727
138.0,-58.61905338633905
138.1,-58.50524292020244
138.20000000000002,-58.39029434940446
138.3,-58.27419629289851
138.4,-58.15693725582749
138.5,-58.03850562838577
138.6,-57.91888968466963
138.70000000000002,-57.798077581516324
138.8,-57.67605735733149
138.9,-57.552816930904804
139.0,-57.42834410021385
139.1,-57.30262654121599
139.20000000000002,-57.17565180662815
139.3,-57.04740732469443
139.4,-56.917880397941374
139.5,-56.78705820192079
139.6,-56.65492778394
139.70000000000002,-56.5214760617794
139.8,-56.386689822397194
139.9,-56.250555720621165
140.0,-56.11306027782738
140.1,-55.97418988060565
140.20000000000002,-55.8339307794117
140.3,-55.69226908720582
140.4,-55.54919077807788
140.5,-55.404681685858655
140.6,-55.25872750271724
140.70000000000002,-55.111313777744414
140.8,-54.962425915521855
140.9,-54.81204917467707
141.0,-54.66016866642384
141.1,-54.50676935308808
141.20000000000002,-54.35183604661896
141.3,-54.19535340708516
141.4,-54.037305941156006
141.5,-53.87767800056756
141.6,-53.71645378057324
141.70000000000002,-53.553617318378976
141.8,-53.38915249156276
141.9,-53.22304301647839
142.0,-53.05527244664317
142.1,-52.885824171109604
142.2,-52.7146814128207
142.3,-52.54182722694891
142.4,-52.367244499218394
142.5,-52.19091594421058
142.6,-52.01282410365269
142.7,-51.832951344689214
142.8,-51.651279858136114
142.9,-51.46779165671747
143.0,-51.282468573284646
143.1,-51.0952922590175
143.2,-50.90624418160767
143.3,-50.715305623423745
143.4,-50.52245767965798
143.5,-50.32768125645456
143.6,-50.13095706901911
143.7,-60.0
143.8,-59.899998999999994
143.9,-59.79899799
144.0,-59.6969869699
144.1,-59.593955839599
144.2,-59.48989439799499
144.3,-59.38479234197493
144.4,-59.27863926539468
144.50000000000003,-59.17142465804862
144.6,-59.06313790462911
144.7,-58.9537682836754
144.8,-58.84330496651215
144.9,-58.73173701617727
145.00000000000003,-58.61905338633905
145.1,-58.50524292020244
145.2,-58.39029434940446
145.3,-58.27419629289851
145.4,-58.15693725582749
145.50000000000003,-58.03850562838577
145.6,-57.91888968466963
145.7,-57.798077581516324
145.8,-57.67605735733149
145.9,-57.552816930904804
146.00000000000003,-57.42834410021385
146.1,-57.30262654121599
146.2,-57.17565180662815
146.3,-57.04740732469443
146.4,-56.917880397941374
146.50000000000003,-56.78705820192079
146.6,-56.65492778394
146.7,-56.5214760617794
146.8,-56.386689822397194
146.9,-56.250555720621165
147.00000000000003,-56.11306027782738
147.1,-55.97418988060565
147.2,-55.8339307794117
147.3,-55.69226908720582
147.4,-55.54919077807788
147.50000000000003,-55.404681685858655
147.6,-55.25872750271724
147.7,-55.111313777744414
147.8,-54.962425915521855
147.9,-54.81204917467707
148.00000000000003,-54.66016866642384
148.1,-54.50676935308808
148.2,-54.35183604661896
148.3,-54.19535340708516
148.4,-54.037305941156006
148.50000000000003,-53.87767800056756
148.6,-53.71645378057324
148.7,-53.553617318378976
148.8,-53.38915249156276
148.9,-53.22304301647839
149.0,-53.05527244664317
149.1,-52.885824171109604
149.2,-52.7146814128207
149.3,-52.54182722694891
149.4,-52.367244499218394
149.5,-52.19091594421058
149.6,-52.01282410365269
149.7,-51.832951344689214
149.8,-51.651279858136114
149.9,-51.46779165671747
150.0,-51.282468573284646
150.1,-51.0952922590175
150.2,-50.90624418160767
150.3,-50.715305623423745
150.4,-50.52245767965798
150.5,-50.32768125645456
150.6,-50.13095706901911
150.7,-60.0
150.8,-59.899998999999994
150.9,-59.79899799
151.0,-59.6969869699
151.10000000000002,-59.593955839599
151.2,-59.48989439799499
151.3,-59.38479234197493
151.4,-59.27863926539468
151.5,-59.17142465804862
151.60000000000002,-59.06313790462911
151.7,-58.9537682836754
151.8,-58.84330496651215
151.9,-58.73173701617727
152.0,-58.61905338633905
152.10000000000002,-58.50524292020244
152.2,-58.39029434940446
152.3,-58.27419629289851
152.4,-58.15693725582749
152.5,-58.03850562838577
152.60000000000002,-57.91888968466963
152.7,-57.798077581516324
152.8,-57.67605735733149
152.9,-57.552816930904804
153.0,-57.42834410021385
153.10000000000002,-57.30262654121599
153.2,-57.17565180662815
153.3,-57.04740732469443
153.4,-56.917880397941374
153.5,-56.78705820192079
153.60000000000002,-56.65492778394
153.7,-56.5214760617794
153.8,-56.386689822397194
153.9,-56.250555720621165
154.0,-56.11306027782738
154.10000000000002,-55.97418988060565
154.2,-55.8339307794117
154.3,-55.69226908720582
154.4,-55.54919077807788
154.5,-55.404681685858655
154.60000000000002,-55.25872750271724
154.7,-55.111313777744414
154.8,-54.962425915521855
154.9,-54.81204917467707
155.0,-54.66016866642384
155.10000000000002,-54.50676935308808
155.2,-54.35183604661896
155.29999999999998,-54.19535340708516
155.4,-54.037305941156006
155.5,-53.87767800056756
155.60000000000002,-53.71645378057324
155.7,-53.553617318378976
155.79999999999998,-53.38915249156276
155.9,-53.22304301647839
156.0,-53.05527244664317
156.10000000000002,-52.885824171109604
156.2,-52.7146814128207
156.29999999999998,-52.54182722694891
156.4,-52.367244499218394
156.5,-52.19091594421058
156.60000000000002,-52.01282410365269
156.7,-51.832951344689214
156.79999999999998,-51.651279858136114
156.9,-51.46779165671747
157.0,-51.282468573284646
157.10000000000002,-51.0952922590175
157.20000000000002,-50.90624418160767
157.29999999999998,-50.715305623423745
157.4,-50.52245767965798
157.5,-50.32768125645456
157.60000000000002,-50.13095706901911
157.70000000000002,-60.0
157.79999999999998,-59.899998999999994
157.9,-59.79899799
158.0,-59.6969869699
158.10000000000002,-59.593955839599
158.20000000000002,-59.48989439799499
158.29999999999998,-59.38479234197493
158.4,-59.27863926539468
158.5,-59.17142465804862
158.60000000000002,-59.06313790462911
158.70000000000002,-58.9537682836754
158.79999999999998,-58.84330496651215
158.9,-58.73173701617727
159.0,-58.61905338633905
159.10000000000002,-58.50524292020244
159.20000000000002,-58.39029434940446
159.29999999999998,-58.27419629289851
159.4,-58.15693725582749
159.5,-58.03850562838577
159.60000000000002,-57.91888968466963
159.70000000000002,-57.798077581516324
159.79999999999998,-57.67605735733149
159.9,-57.552816930904804
160.0,-57.42834410021385
160.10000000000002,-57.30262654121599
160.20000000000002,-57.17565180662815
160.29999999999998,-57.04740732469443
160.4,-56.917880397941374
160.5,-56.78705820192079
160.60000000000002,-56.65492778394
160.70000000000002,-56.5214760617794
160.79999999999998,-56.386689822397194
160.9,-56.250555720621165
161.0,-56.11306027782738
161.10000000000002,-55.97418988060565
161.20000000000002,-55.8339307794117
