Tiempo (ms),Voltaje (mV)
296.00000000000006,-53.05527244664519
296.1,-52.88582417111167
296.2,-52.71468141282281
296.3,-52.54182722695107
296.4,-52.36724449922062
296.50000000000006,-52.19091594421285
296.6,-52.01282410365501
296.7,-51.83295134469158
296.8,-51.65127985813852
296.9,-51.46779165671994
297.00000000000006,-51.28246857328716
297.1,-51.09529225902006
297.2,-50.90624418161029
297.3,-50.715305623426424
297.4,-50.52245767966072
297.5,-50.32768125645735
297.6,-50.13095706902196
297.7,-60.0
297.8,-59.89999900000002
297.9,-59.79899799000005
298.0,-59.69698696990008
298.1,-59.59395583959912
298.2,-59.48989439799514
298.3,-59.38479234197512
298.4,-59.2786392653949
298.5,-59.17142465804888
298.6,-59.06313790462939
298.7,-58.953768283675714
298.8,-58.8433049665125
298.9,-58.731737016177654
299.0,-58.61905338633946
299.1,-58.505242920202875
299.2,-58.39029434940494
299.3,-58.27419629289901
299.4,-58.15693725582803
299.5,-58.038505628386346
299.6,-57.91888968467024
299.7,-57.79807758151697
299.8,-57.67605735733216
299.9,-57.552816930905514
300.0,-57.4283441002146
300.1,-57.302626541216775
300.2,-57.17565180662897
300.3,-57.04740732469529
300.4,-56.91788039794227
300.5,-56.787058201921724
300.6,-56.65492778394097
300.7,-56.521476061780405
300.8,-56.38668982239824
300.9,-56.25055572062226
301.0,-56.11306027782851
301.1,-55.97418988060682
301.2,-55.83393077941292
301.3,-55.69226908720707
301.4,-55.54919077807917
301.5,-55.40468168586
301.6,-55.25872750271862
301.70000000000005,-55.11131377774584
301.8,-54.962425915523326
301.9,-54.812049174678585
302.0,-54.6601686664254
302.1,-54.50676935308969
302.20000000000005,-54.35183604662061
302.3,-54.19535340708684
302.4,-54.03730594115774
302.5,-53.87767800056935
302.6,-53.716453780575065
302.70000000000005,-53.553617318380844
302.8,-53.38915249156469
302.9,-53.22304301648036
303.0,-53.05527244664519
303.1,-52.88582417111167
303.20000000000005,-52.71468141282281
303.3,-52.54182722695107
303.4,-52.36724449922062
303.5,-52.19091594421285
303.6,-52.01282410365501
303.70000000000005,-51.83295134469158
303.8,-51.65127985813852
303.9,-51.46779165671994
304.0,-51.28246857328716
304.1,-51.09529225902006
304.20000000000005,-50.90624418161029
304.3,-50.715305623426424
304.4,-50.52245767966072
304.5,-50.32768125645735
304.6,-50.13095706902196
304.70000000000005,-60.0
304.8,-59.89999900000002
304.9,-59.79899799000005
305.0,-59.69698696990008
305.1,-59.59395583959912
305.20000000000005,-59.48989439799514
305.3,-59.38479234197512
305.4,-59.2786392653949
305.5,-59.17142465804888
305.6,-59.06313790462939
305.70000000000005,-58.953768283675714
305.8,-58.8433049665125
305.9,-58.731737016177654
306.0,-58.61905338633946
306.1,-58.505242920202875
306.20000000000005,-58.39029434940494
306.3,-58.27419629289901
306.4,-58.15693725582803
306.5,-58.038505628386346
306.6,-57.91888968467024
306.70000000000005,-57.79807758151697
306.8,-57.67605735733216
306.9,-57.552816930905514
307.0,-57.4283441002146
307.1,-57.302626541216775
307.20000000000005,-57.17565180662897
307.3,-57.04740732469529
307.4,-56.91788039794227
307.5,-56.787058201921724
307.6,-56.65492778394097
307.70000000000005,-56.521476061780405
307.8,-56.38668982239824
307.9,-56.25055572062226
308.0,-56.11306027782851
308.1,-55.97418988060682
308.20000000000005,-55.83393077941292
308.3,-55.69226908720707
308.4,-55.54919077807917
308.5,-55.40468168586
308.6,-55.25872750271862
308.70000000000005,-55.11131377774584
308.8,-54.962425915523326
308.9,-54.812049174678585
309.0,-54.6601686664254
309.1,-54.50676935308969
309.20000000000005,-54.35183604662061
309.3,-54.19535340708684
309.4,-54.03730594115774
309.5,-53.87767800056935
309.6,-53.716453780575065
309.70000000000005,-53.553617318380844
309.8,-53.38915249156469
309.9,-53.22304301648036
310.0,-53.05527244664519
310.1,-52.88582417111167
310.20000000000005,-52.71468141282281
310.3,-52.54182722695107
310.4,-52.36724449922062
310.5,-52.19091594421285
310.59999999999997,-52.01282410365501
310.70000000000005,-51.83295134469158
310.8,-51.65127985813852
310.9,-51.46779165671994
311.0,-51.28246857328716
311.09999999999997,-51.09529225902006
311.20000000000005,-50.90624418161029
311.3,-50.715305623426424
311.4,-50.52245767966072
311.5,-50.32768125645735
311.59999999999997,-50.13095706902196
311.70000000000005,-60.0
311.8,-59.89999900000002
311.9,-59.79899799000005
312.0,-59.69698696990008
312.09999999999997,-59.59395583959912
312.20000000000005,-59.48989439799514
312.3,-59.38479234197512
312.4,-59.2786392653949
312.5,-59.17142465804888
312.59999999999997,-59.06313790462939
312.70000000000005,-58.953768283675714
312.8,-58.8433049665125
312.9,-58.731737016177654
313.0,-58.61905338633946
313.09999999999997,-58.505242920202875
313.20000000000005,-58.39029434940494
313.3,-58.27419629289901
313.4,-58.15693725582803
