I_nA,tau_ms,V_th_mV,g_leak_nS,n_spikes,t_first_ms
2.5,50,-55,2.0,998,0.5
2.5,50,-55,5.0,398,1.4
2.5,50,-50,0.5,1999,0.1
2.5,50,-50,1.0,999,0.30000000000000004
2.5,50,-50,2.0,499,0.7
2.5,50,-50,5.0,199,1.9
2.5,50,-45,0.5,999,0.2
2.5,50,-45,1.0,666,0.4
2.5,50,-45,2.0,332,0.9
2.5,50,-45,5.0,132,2.4000000000000004
2.5,50,-40,0.5,999,0.2
2.5,50,-40,1.0,499,0.5
2.5,50,-40,2.0,249,1.1
2.5,50,-40,5.0,99,2.9000000000000004
3.0,5,-55,0.5,2000,0.0
3.0,5,-55,1.0,2000,0.0
3.0,5,-55,2.0,2000,0.0
3.0,5,-55,5.0,1999,0.1
3.0,5,-50,0.5,2000,0.0
3.0,5,-50,1.0,2000,0.0
3.0,5,-50,2.0,2000,0.0
3.0,5,-50,5.0,1999,0.1
3.0,5,-45,0.5,2000,0.0
3.0,5,-45,1.0,2000,0.0
3.0,5,-45,2.0,2000,0.0
3.0,5,-45,5.0,999,0.2
3.0,5,-40,0.5,2000,0.0
3.0,5,-40,1.0,2000,0.0
3.0,5,-40,2.0,1999,0.1
3.0,5,-40,5.0,999,0.2
3.0,10,-55,0.5,2000,0.0
3.0,10,-55,1.0,2000,0.0
3.0,10,-55,2.0,1999,0.1
3.0,10,-55,5.0,1998,0.2
3.0,10,-50,0.5,2000,0.0
3.0,10,-50,1.0,2000,0.0
3.0,10,-50,2.0,1999,0.1
3.0,10,-50,5.0,999,0.30000000000000004
3.0,10,-45,0.5,2000,0.0
3.0,10,-45,1.0,2000,0.0
3.0,10,-45,2.0,1999,0.1
3.0,10,-45,5.0,666,0.4
3.0,10,-40,0.5,2000,0.0
3.0,10,-40,1.0,1999,0.1
3.0,10,-40,2.0,1000,0.1
3.0,10,-40,5.0,499,0.4
3.0,20,-55,0.5,2000,0.0
3.0,20,-55,1.0,1999,0.1
3.0,20,-55,2.0,1999,0.1
3.0,20,-55,5.0,998,0.4
3.0,20,-50,0.5,2000,0.0
3.0,20,-50,1.0,1999,0.1
3.0,20,-50,2.0,999,0.2
3.0,20,-50,5.0,499,0.6000000000000001
3.0,20,-45,0.5,2000,0.0
3.0,20,-45,1.0,1999,0.1
3.0,20,-45,2.0,999,0.30000000000000004
3.0,20,-45,5.0,399,0.8
3.0,20,-40,0.5,1999,0.1
3.0,20,-40,1.0,1000,0.1
3.0,20,-40,2.0,666,0.30000000000000004
3.0,20,-40,5.0,285,0.9
3.0,50,-55,0.5,1999,0.1
3.0,50,-55,1.0,1998,0.2
3.0,50,-55,2.0,998,0.4
3.0,50,-55,5.0,398,1.2000000000000002
3.0,50,-50,0.5,1999,0.1
3.0,50,-50,1.0,999,0.30000000000000004
3.0,50,-50,2.0,499,0.6000000000000001
3.0,50,-50,5.0,221,1.6
3.0,50,-45,0.5,999,0.2
3.0,50,-45,1.0,666,0.4
3.0,50,-45,2.0,399,0.8
3.0,50,-45,5.0,153,2.0
3.0,50,-40,0.5,999,0.2
3.0,50,-40,1.0,499,0.4
3.0,50,-40,2.0,285,0.9
3.0,50,-40,5.0,117,2.4000000000000004
3.5,5,-55,0.5,2000,0.0
3.5,5,-55,1.0,2000,0.0
3.5,5,-55,2.0,2000,0.0
3.5,5,-55,5.0,1999,0.1
3.5,5,-50,0.5,2000,0.0
3.5,5,-50,1.0,2000,0.0
3.5,5,-50,2.0,2000,0.0
3.5,5,-50,5.0,1999,0.1
3.5,5,-45,0.5,2000,0.0
3.5,5,-45,1.0,2000,0.0
3.5,5,-45,2.0,2000,0.0
3.5,5,-45,5.0,1000,0.1
3.5,5,-40,0.5,2000,0.0
3.5,5,-40,1.0,2000,0.0
3.5,5,-40,2.0,2000,0.0
3.5,5,-40,5.0,999,0.2
3.5,10,-55,0.5,2000,0.0
3.5,10,-55,1.0,2000,0.0
3.5,10,-55,2.0,2000,0.0
3.5,10,-55,5.0,1998,0.2
3.5,10,-50,0.5,2000,0.0
3.5,10,-50,1.0,2000,0.0
3.5,10,-50,2.0,1999,0.1
3.5,10,-50,5.0,999,0.2
3.5,10,-45,0.5,2000,0.0
3.5,10,-45,1.0,2000,0.0
3.5,10,-45,2.0,1999,0.1
3.5,10,-45,5.0,666,0.30000000000000004
3.5,10,-40,0.5,2000,0.0
3.5,10,-40,1.0,2000,0.0
3.5,10,-40,2.0,1000,0.1
3.5,10,-40,5.0,666,0.4
3.5,20,-55,0.5,2000,0.0
3.5,20,-55,1.0,2000,0.0
3.5,20,-55,2.0,1999,0.1
3.5,20,-55,5.0,998,0.4
3.5,20,-50,0.5,2000,0.0
3.5,20,-50,1.0,1999,0.1
3.5,20,-50,2.0,999,0.2
3.5,20,-50,5.0,665,0.5
3.5,20,-45,0.5,2000,0.0
3.5,20,-45,1.0,1999,0.1
3.5,20,-45,2.0,999,0.2
3.5,20,-45,5.0,399,0.7
3.5,20,-40,0.5,2000,0.0
3.5,20,-40,1.0,1000,0.1
3.5,20,-40,2.0,666,0.30000000000000004
3.5,20,-40,5.0,332,0.8
3.5,50,-55,0.5,1999,0.1
3.5,50,-55,1.0,1998,0.2
3.5,50,-55,2.0,998,0.4
3.5,50,-55,5.0,498,1.0
3.5,50,-50,0.5,1999,0.1
3.5,50,-50,1.0,999,0.2
3.5,50,-50,2.0,665,0.5
3.5,50,-50,5.0,249,1.4
3.5,50,-45,0.5,1000,0.1
3.5,50,-45,1.0,666,0.30000000000000004
3.5,50,-45,2.0,399,0.7
3.5,50,-45,5.0,181,1.7000000000000002
3.5,50,-40,0.5,999,0.2
3.5,50,-40,1.0,666,0.4
3.5,50,-40,2.0,332,0.8
3.5,50,-40,5.0,142,2.1
4.0,5,-55,0.5,2000,0.0
4.0,5,-55,1.0,2000,0.0
4.0,5,-55,2.0,2000,0.0
4.0,5,-55,5.0,2000,0.0
4.0,5,-50,0.5,2000,0.0
4.0,5,-50,1.0,2000,0.0
4.0,5,-50,2.0,2000,0.0
4.0,5,-50,5.0,1999,0.1
4.0,5,-45,0.5,2000,0.0
4.0,5,-45,1.0,2000,0.0
4.0,5,-45,2.0,2000,0.0
4.0,5,-45,5.0,1999,0.1
4.0,5,-40,0.5,2000,0.0
4.0,5,-40,1.0,2000,0.0
4.0,5,-40,2.0,2000,0.0
4.0,5,-40,5.0,1000,0.1
4.0,10,-55,0.5,2000,0.0
4.0,10,-55,1.0,2000,0.0
4.0,10,-55,2.0,2000,0.0
4.0,10,-55,5.0,1999,0.1
4.0,10,-50,0.5,2000,0.0
4.0,10,-50,1.0,2000,0.0
4.0,10,-50,2.0,1999,0.1
4.0,10,-50,5.0,999,0.2
4.0,10,-45,0.5,2000,0.0
4.0,10,-45,1.0,2000,0.0
4.0,10,-45,2.0,1999,0.1
4.0,10,-45,5.0,999,0.30000000000000004
4.0,10,-40,0.5,2000,0.0
4.0,10,-40,1.0,2000,0.0
4.0,10,-40,2.0,1999,0.1
4.0,10,-40,5.0,666,0.30000000000000004
4.0,20,-55,0.5,2000,0.0
4.0,20,-55,1.0,2000,0.0
4.0,20,-55,2.0,1999,0.1
4.0,20,-55,5.0,999,0.30000000000000004
4.0,20,-50,0.5,2000,0.0
4.0,20,-50,1.0,1999,0.1
