I,rmse_f32,rmse_f16,rmse_posit,rmse_bf16,psnr_f32,psnr_f16,psnr_posit,psnr_bf16,ssim_f32,ssim_f16,ssim_posit,ssim_bf16,relerr_f16,relerr_bf16,relerr_posit,corr_f16,corr_bf16,corr_posit,specent_f16,specent_bf16,specent_posit
0.6697394789579159,4.134288189401651e-08,0.0012936497629622919,0.0004379254294117094,0.012558951775994583,172.17682365592202,82.26850432593884,91.6768353014769,62.525770734711934,1.0000000000000016,0.999999961948979,0.9999999956380518,0.9999964040116227,1.7166736410790032e-05,0.00016665732944644228,5.811271821422367e-06,0.9999999990752386,0.999999912348605,0.9999999998939517,0.02520454143810723,0.025080157512344402,0.025188977618013503
0.6713426853707415,1.0250999674525783e-07,0.00031230815093118174,0.00031230815093118174,0.023929744542239603,164.2978003822078,94.62145839617831,94.62145839617831,56.9343635287118,0.9999999999999984,0.9999999977917764,0.9999999977917764,0.9999869740341046,4.145583244401142e-06,0.0003176438005902714,4.145583244401142e-06,0.9999999999465792,0.9999996832498553,0.9999999999465792,0.02529801930269878,0.025080157512344402,0.02529801930269878
0.6729458917835671,1.7638497434910983e-07,0.000669033461094929,0.000669033461094929,0.007595334230575887,159.59217133957793,88.01244628185705,88.01244628185705,66.91046527233085,0.999999999999997,0.9999999899093308,0.9999999899093308,0.999998697719623,8.883446602409706e-06,0.0001008510784413597,8.883446602409706e-06,0.9999999997570022,0.99999996859329,0.9999999997570022,0.025391659877309587,0.025329214752173868,0.025391659877309587
0.6745490981963929,3.253209572997208e-08,0.0016503750731309877,8.120011924297309e-05,0.01896612699682089,174.28343263869183,80.1780203599646,106.33854013053899,58.970100385455936,1.0000000000000009,0.9999999388577014,0.9999999998520409,0.9999918979260267,2.1920360300705253e-05,0.0002519090018067959,1.0785038499702758e-06,0.9999999985343185,0.9999998050677735,0.9999999999964544,0.02548546309122342,0.025329214752173868,0.02550111276740797
0.6761523046092184,1.1132077289092027e-07,0.0008314336995859348,0.0008314336995859348,0.002631716685152049,163.60641175027965,86.14138354301055,86.14138354301055,76.13315333080462,1.0000000000000016,0.9999999845582547,0.9999999845582547,0.9999998451856708,1.1046484099657768e-05,3.496516502977191e-05,1.1046484099657768e-05,0.9999999996317883,0.9999999963057324,0.9999999996317883,0.025610786915677648,0.025579428873896592,0.025610786915677648
0.6777555110220441,1.675741981531561e-07,0.00014990791245014415,0.00014990791245014415,0.014002509451402058,160.06204769605827,101.02969956695529,101.02969956695529,61.62207320565586,0.9999999999999984,0.9999999995001366,0.9999999995001366,0.9999956270086349,1.9922895665845887e-06,0.00018609460321384003,1.9922895665845887e-06,0.9999999999881348,0.9999998958957428,0.9999999999881348,0.02570496934725812,0.025579428873896592,0.02570496934725812
0.6793587174348698,2.3721329461835996e-08,0.0011312495244712858,0.0006003256678977261,0.025373302217637114,177.0516570358075,83.48326935086064,88.98669928959352,56.46689769768748,1.0000000000000009,0.999999971654443,0.9999999920201118,0.9999856730165602,1.503896018723895e-05,0.0003373155732800639,7.980797890820136e-06,0.9999999993302116,0.9999996597314538,0.9999999998115087,0.0257993141836634,0.025579428873896592,0.025815054107506723
0.6809619238476954,1.2013155416649277e-07,0.0013505592482356183,0.00038101594413336384,0.009038891905973324,162.9695346567273,81.9524037463922,92.94381357601159,65.44037271413467,0.9999999999999991,0.9999999597954045,0.9999999967990473,0.9999981955373697,1.7959927409249096e-05,0.00012020045970097952,5.066803775800031e-06,0.9999999990549688,0.9999999574928627,0.9999999999247319,0.02592535980767545,0.025830798540326796,0.02590958832777686
0.6825651302605211,1.5876342189689298e-07,0.0003692176362095174,0.0003692176362095174,0.020409684672213345,160.55589877095926,93.22525903747297,93.22525903747297,58.374181889279164,0.9999999999999984,0.9999999970078162,0.9999999970078162,0.9999908202737772,4.911395967293581e-06,0.0002714931064017705,4.911395967293581e-06,0.9999999999299845,0.9999997842633329,0.9999999999299845,0.026020083316834836,0.025830798540326796,0.026020083316834836
0.6841683366733466,1.4910543247600483e-08,0.0006121239758215724,0.0006121239758215724,0.004075274360554547,181.10926187912352,88.8423434061309,88.8423434061309,72.37599417064364,1.0000000000000018,0.9999999918100532,0.9999999918100532,0.999999636751122,8.145045565171125e-06,5.422642580326817e-05,8.145045565171125e-06,0.9999999998092224,0.9999999915323329,0.9999999998092224,0.02611496899821923,0.026083322422910143,0.02611496899821923
0.6857715430861724,1.2894232538341024e-07,0.0015934655878476834,0.0001381096045262877,0.015446067126794588,162.37943689823203,80.54049308145761,101.78286922748998,60.81098850302123,1.0000000000000007,0.9999999447323726,0.9999999995849639,0.9999947931902347,2.1209404404880134e-05,0.0002055908120360536,1.8382715490915152e-06,0.9999999987183744,0.9999998789082423,0.999999999990379,0.026210016782411312,0.026083322422910143,0.026225873834907105
0.687374749498998,1.499526406917483e-07,0.0008883431848642501,0.0008432320075097914,0.026816859893039596,161.0764723814013,85.62393924666475,86.07661308091564,56.02739628476918,0.9999999999999973,0.9999999829058535,0.9999999845928096,0.99998433981282,1.1827644300655971e-05,0.000357047012325389,1.1227021738539055e-05,0.9999999996056573,0.999999636647945,0.9999999996444456,0.026336999201583697,0.026083322422910143,0.02632111065152401
0.6889779559118236,6.099772040701216e-09,9.299842715687157e-05,9.299842715687157e-05,0.010482449581370781,188.89748278028392,105.2342428079277,105.2342428079277,64.19449923536301,1.0000000000000047,0.9999999998134343,0.9999999998134343,0.9999976250070534,1.2385821605042279e-06,0.0001396085444324196,1.2385821605042279e-06,0.9999999999957155,0.9999999453393138,0.9999999999957155,0.02643242495662415,0.026336999201583697,0.02643242495662415
0.6905811623246494,1.3775311160776407e-07,0.0010743400391929907,0.0006572351531710523,0.02185324234762079,161.8299189278987,83.98911204805424,88.25753159498578,57.82162963996469,1.0000000000000007,0.9999999752053542,0.9999999907237401,0.9999897004238675,1.431273911640762e-05,0.00029113664683304665,8.755919859912609e-06,0.9999999994331192,0.9999997635044683,0.999999999787992,0.026528012584262583,0.026336999201583697,0.026543959588322362
0.6921843687374749,1.4114186939438482e-07,0.0014074687335189028,0.00032410645885006927,0.005518832035957075,161.62701465539743,81.65135684263535,94.40637824461028,69.78318842809277,1.0000000000000027,0.9999999576486519,0.9999999977534948,0.9999993479904971,1.875648986131088e-05,7.354615748365714e-05,4.319171974930966e-06,0.9999999990367228,0.9999999851489348,0.9999999999488854,0.02665571443752874,0.02659182756463769,0.02663973598049236
0.6937875751503007,2.7110042558351045e-09,0.0004261271214878329,0.0004261271214878329,0.01688962480220208,195.9657049496025,92.03752540882219,92.03752540882219,60.07590889744684,1.0000000000000044,0.9999999961339019,0.9999999961339019,0.9999939066525082,5.6804644259394376e-06,0.0002251462251954153,5.6804644259394376e-06,0.9999999999124575,0.9999998615307051,0.9999999999124575,0.026751679500962203,0.02659182756463769,0.026751679500962203
0.6953907815631263,1.4656388288499097e-07,0.0005552144905382377,0.0005552144905382377,0.0005552144905382377,161.31593897886205,89.74726237691242,89.74726237691242,89.74726237691242,0.999999999999997,0.9999999934637951,0.9999999934637951,0.9999999934637951,7.403504723992354e-06,7.403504723992354e-06,7.403504723992354e-06,0.999999999852653,0.999999999852653,0.999999999852653,0.026847806208578597,0.026847806208578597,0.026847806208578597
0.6969939879759519,1.323310881590854e-07,0.0015365561025693477,0.00019501908979962411,0.01192600725678326,162.21140215632843,80.91367139479411,98.84309732765963,63.11473844526999,0.9999999999999984,0.9999999501443737,0.9999999991971582,0.9999969907651212,2.0495424851890362e-05,0.0001590756010182634,2.6012711758383874e-06,0.999999998881075,0.9999999323187448,0.9999999999819877,0.026944094492197892,0.026847806208578597,0.026960158243466766
